Provide a good Communications system enigeering question to test proper experience and nuance categorize this question as hard difficulty,What is Vestigial sideband modulation?
Provide a good Communications system enigeering question to test proper experience and nuance categorize this question as easy difficulty,What is the use of a mixer circuit in communication?
Provide a good Communications system and networking enigeering question to test proper experience and nuance categorize this question as easy difficulty,What is a Network?
Provide a good Communications system and networking enigeering question to test proper experience and nuance categorize this question as easy difficulty,How the networks are classified on the basis of Topology?
Provide a good Communications system and networking enigeering question to test proper experience and nuance categorize this question as easy difficulty,How will you define network topology?
Provide a good Communications system and networking enigeering question to test proper experience and nuance categorize this question as easy difficulty,Which network topology is the most widely used topology?
Provide a good Communications system and networking enigeering question to test proper experience and nuance categorize this question as easy difficulty,How the networks are classified on the basis of network extent?
Provide a good Communications system and networking enigeering question to test proper experience and nuance categorize this question as easy difficulty,What is Switching?  what are the different types of switching in communication?
Provide a good Communications system and networking enigeering question to test proper experience and nuance categorize this question as easy difficulty,What is Routing?
Provide a good Communications system and networking enigeering question to test proper experience and nuance categorize this question as easy difficulty,What is a routing table?
Provide a good Communications system and networking enigeering question to test proper experience and nuance categorize this question as meduim difficulty,What is the OSI model? Application of each layer of the OSI model.
Provide a good Communications system and networking enigeering question to test proper experience and nuance categorize this question as easy difficulty,What is TCP/ IP reference model?
Provide a good Communications system and networking enigeering question to test proper experience and nuance categorize this question as meduim difficulty,What is Addressing?  what are the different classifications of addressing techniques?
Provide a good Communications system and networking enigeering question to test proper experience and nuance categorize this question as easy difficulty,What is IP version 4 of IP addressing?
Provide a good Communications system and networking enigeering question to test proper experience and nuance categorize this question as medium difficulty,What is Subnetting?
Provide a good Communications system and networking enigeering question to test proper experience and nuance categorize this question as medium difficulty,What is IPV 6? what features of IPV 6  are different from IPV 4?
Provide a good Communications system and networking enigeering question to test proper experience and nuance categorize this question as medium difficulty,What is the Address resolution protocol? How do ARP works?
Provide a good Communications system and networking enigeering question to test proper experience and nuance categorize this question as hard difficulty,What is reverse ARP?
Provide a good Communications system and networking enigeering question to test proper experience and nuance categorize this question as meduim difficulty,What are the functions of the Application layer protocol?
Provide a good Communications system and networking enigeering question to test proper experience and nuance categorize this question as easy difficulty,What does the Port number specify?
Provide a good Communications system and networking enigeering question to test proper experience and nuance categorize this question as easy difficulty,What is DNS? How does DNS work?
Provide a good Communications system and networking enigeering question to test proper experience and nuance categorize this question as easy difficulty,What is Cryptography?
Provide a good Communications system and networking enigeering question to test proper experience and nuance categorize this question as hard difficulty,What are the different types of Cryptography techniques used for Network security
Provide a good Communications system and networking enigeering question to test proper experience and nuance categorize this question as meduim difficulty,What are the types of Attacks on a communication network?
Provide a good Communications system and networking enigeering question to test proper experience and nuance categorize this question as meduim difficulty,What are the services required to make Communication secure?
Provide a good Communications system and networking enigeering question to test proper experience and nuance categorize this question as meduim difficulty,What is Firewall? what are the advantages of using a Firewall?
Provide a good Communications system and networking enigeering question to test proper experience and nuance categorize this question as meduim difficulty,What are the different types of firewalls?
Provide a good Communications system and networking enigeering question to test proper experience and nuance categorize this question as hard difficulty,What is Tunnelling?
Provide a good Communications system and networking enigeering question to test proper experience and nuance categorize this question as hard difficulty,What is Pretty good privacy (PGP)?
